Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
Xkombec,Xcombec = Xumbec,XKB," Mexico, Campeche (MX-CAM)",20.164667,-90.399167
Xkukican,X-Kukican,XKK,"Mexico, Yucatàn (MX-YUC)",20.240566,-89.408333
Xmakabatun,Xmacabatun = Piedras Negras,XMK,"Guatemala, Petén (GT-PE)",17.517222,-89.236666
Xnaheb,Xnaheb Ahse Enel,XNH," Belize, Toledo (BZ-TOL)",16.2795,-88.9035
Xnucbec,San Andres,XNC,"Mexico, Yucatàn (MX-YUC)",20.295903,-89.681029
Xpuhil II,Xpujil,XPH," Mexico, Campeche (MX-CAM)",18.50817,-89.405
Xpulyaxche,Pakchen,XPL," Mexico, Campeche (MX-CAM)",19.529863,-89.80525
Xtablakal,Xtabla,XTB,"Mexico, Yucatàn (MX-YUC)",19.975333,-89.534833
Xtelhu,,XTH,"Mexico, Yucatàn (MX-YUC)",20.47592,-88.77589
Xuelen,,XUE," Mexico, Campeche (MX-CAM)",20.237426,-90.139515
Xul,,XLY,"Mexico, Yucatàn (MX-YUC)",20.09773,-89.463532
Xulha,,XLA," Mexico, Quintana Roo (MX-ROO)",18.573087,-88.459773
Xultun,El Delirio = Los Tambos,XUL,"Guatemala, Petén (GT-PE)",17.53075,-89.313239
Xunantunich,Benque Viejo = Mount Maloney,XUN," Belize, Cayo (BZ-CY)",17.08944,-89.14167
Xupa,,XUP,"Mexico, Chiapas (MX-CHP)",17.442083,-91.946583
Xutilha,,XTL,"Guatemala, Petén (GT-PE)",16.190937,-89.531279
Yakalmai,,YAK," Mexico, Campeche (MX-CAM)",20.19178,-90.07153
Yakalxiu,,YKL,"Mexico, Yucatàn (MX-YUC)",20.182217,-89.500367
Yalcabakal,,YLC," Mexico, Campeche (MX-CAM)",19.49,-90.31225
Yaleltsemen,,YLS,"Mexico, Chiapas (MX-CHP)",16.59,-93.01079
Yaltutu,Yaltatu = Yaltitud,YLT,"Guatemala, Petén (GT-PE)",16.85436,-89.37647
Yaxche Xlabpak,,YXX," Mexico, Campeche (MX-CAM)",20.12437,-89.71365
Yaxchilan,Menche = Menche Tinamit = La Ville Lorillard = Lorillard City = Lorillard Town = Usumacinta,YAX,"Mexico, Chiapas (MX-CHP)",16.899712,-90.964698
Yaxcopoil,,YXP,"Mexico, Yucatàn (MX-YUC)",20.756915,-89.703474
Yaxha,Yaxhá = Yaxjá = Ya'axjá,YXH,"Guatemala, Petén (GT-PE)",17.07588,-89.40248
Yaxhom,Yaaxhom,YXM,"Mexico, Yucatàn (MX-YUC)",20.241896,-89.48589
Yaxuna,,YXN,"Mexico, Yucatàn (MX-YUC)",20.541596,-88.662541
Yohom,,YOH," Mexico, Campeche (MX-CAM)",20.17629,-90.07405
YulaUla,,YUL,"Mexico, Yucatàn (MX-YUC)",20.615642,-88.570021
Zacpeten,Sacpeten = Sakpeten,ZPT,"Guatemala, Petén (GT-PE)",16.98846,-89.66114
Zaculeu,,ZAC,"Guatemala, Huehuetenango (GT-HU)",15.33379,-91.49275
Zapote Bobal,Hixwitz = Hix Witz,ZPB,"Guatemala, Petén (GT-PE)",17.009164,-90.309259
